idBank: 001565530
Informations: Business climate summary indicator - All sectors - Metropolitan France
Source: INSEE
001565530,month,year
94,January,2014
94,December,2013
95,November,2013
95,October,2013
95,September,2013
91,August,2013
88,July,2013
86,June,2013
85,May,2013
84,April,2013
86,March,2013
88,February,2013
88,January,2013
88,December,2012
88,November,2012
86,October,2012
88,September,2012
88,August,2012
89,July,2012
91,June,2012
92,May,2012
95,April,2012
95,March,2012
93,February,2012
93,January,2012
94,December,2011
95,November,2011
97,October,2011
99,September,2011
101,August,2011
106,July,2011
108,June,2011
108,May,2011
109,April,2011
109,March,2011
108,February,2011
108,January,2011
107,December,2010
105,November,2010
105,October,2010
104,September,2010
102,August,2010
100,July,2010
98,June,2010
98,May,2010
97,April,2010
93,March,2010
94,February,2010
93,January,2010
91,December,2009
91,November,2009
89,October,2009
86,September,2009
82,August,2009
79,July,2009
77,June,2009
74,May,2009
70,April,2009
70,March,2009
73,February,2009
75,January,2009
77,December,2008
81,November,2008
84,October,2008
93,September,2008
95,August,2008
96,July,2008
100,June,2008
103,May,2008
106,April,2008
109,March,2008
109,February,2008
110,January,2008
111,December,2007
111,November,2007
111,October,2007
112,September,2007
113,August,2007
114,July,2007
114,June,2007
113,May,2007
113,April,2007
113,March,2007
112,February,2007
111,January,2007
111,December,2006
112,November,2006
111,October,2006
112,September,2006
111,August,2006
111,July,2006
109,June,2006
110,May,2006
108,April,2006
107,March,2006
107,February,2006
109,January,2006
108,December,2005
106,November,2005
107,October,2005
104,September,2005
105,August,2005
105,July,2005
104,June,2005
103,May,2005
105,April,2005
106,March,2005
106,February,2005
106,January,2005
106,December,2004
105,November,2004
108,October,2004
106,September,2004
107,August,2004
107,July,2004
105,June,2004
106,May,2004
106,April,2004
105,March,2004
105,February,2004
105,January,2004
102,December,2003
100,November,2003
97,October,2003
95,September,2003
96,August,2003
95,July,2003
92,June,2003
92,May,2003
88,April,2003
91,March,2003
96,February,2003
96,January,2003
100,December,2002
97,November,2002
96,October,2002
97,September,2002
98,August,2002
99,July,2002
102,June,2002
103,May,2002
101,April,2002
99,March,2002
97,February,2002
96,January,2002
95,December,2001
94,November,2001
94,October,2001
99,September,2001
100,August,2001
102,July,2001
104,June,2001
105,May,2001
107,April,2001
112,March,2001
112,February,2001
112,January,2001
113,December,2000
114,November,2000
116,October,2000
117,September,2000
117,August,2000
117,July,2000
117,June,2000
116,May,2000
116,April,2000
117,March,2000
116,February,2000
115,January,2000
118,December,1999
117,November,1999
114,October,1999
114,September,1999
111,August,1999
108,July,1999
103,June,1999
104,May,1999
102,April,1999
101,March,1999
103,February,1999
102,January,1999
102,December,1998
105,November,1998
106,October,1998
109,September,1998
112,August,1998
112,July,1998
113,June,1998
112,May,1998
110,April,1998
113,March,1998
110,February,1998
108,January,1998
109,December,1997
106,November,1997
104,October,1997
106,September,1997
103,August,1997
100,July,1997
101,June,1997
99,May,1997
99,April,1997
100,March,1997
100,February,1997
97,January,1997
94,December,1996
92,November,1996
91,October,1996
91,September,1996
90,August,1996
89,July,1996
92,June,1996
92,May,1996
94,April,1996
93,March,1996
89,February,1996
89,January,1996
89,December,1995
93,November,1995
95,October,1995
99,September,1995
102,August,1995
105,July,1995
106,June,1995
107,May,1995
106,April,1995
108,March,1995
108,February,1995
110,January,1995
109,December,1994
109,November,1994
109,October,1994
109,September,1994
107,August,1994
105,July,1994
104,June,1994
103,May,1994
101,April,1994
98,March,1994
94,February,1994
93,January,1994
90,December,1993
87,November,1993
84,October,1993
83,September,1993
82,August,1993
80,July,1993
77,June,1993
80,May,1993
79,April,1993
77,March,1993
77,February,1993
78,January,1993
80,December,1992
82,November,1992
83,October,1992
85,September,1992
88,August,1992
90,July,1992
94,June,1992
95,May,1992
93,April,1992
96,March,1992
96,February,1992
93,January,1992
92,December,1991
93,November,1991
93,October,1991
95,September,1991
94,August,1991
94,July,1991
93,June,1991
92,May,1991
93,April,1991
94,March,1991
89,February,1991
94,January,1991
96,December,1990
98,November,1990
99,October,1990
102,September,1990
105,August,1990
109,July,1990
109,June,1990
111,May,1990
111,April,1990
112,March,1990
114,February,1990
115,January,1990
114,December,1989
115,November,1989
115,October,1989
115,September,1989
116,August,1989
117,July,1989
117,June,1989
117,May,1989
118,April,1989
117,March,1989
117,February,1989
118,January,1989
116,December,1988
116,November,1988
115,October,1988
117,September,1988
116,August,1988
116,July,1988
115,June,1988
116,May,1988
116,April,1988
116,March,1988
117,February,1988
116,January,1988
108,December,1987
108,November,1987
108,October,1987
108,September,1987
106,August,1987
105,July,1987
102,June,1987
104,May,1987
102,April,1987
99,March,1987
101,February,1987
101,January,1987
101,December,1986
102,November,1986
102,October,1986
104,September,1986
104,August,1986
104,July,1986
104,June,1986
106,May,1986
105,April,1986
106,March,1986
104,February,1986
103,January,1986
103,December,1985
103,November,1985
101,October,1985
102,September,1985
99,August,1985
99,July,1985
99,June,1985
97,May,1985
97,April,1985
96,March,1985
94,February,1985
93,January,1985
94,December,1984
95,November,1984
94,October,1984
95,September,1984
95,August,1984
94,July,1984
91,June,1984
91,May,1984
91,April,1984
91,March,1984
90,February,1984
89,January,1984
87,December,1983
87,November,1983
86,October,1983
84,September,1983
85,August,1983
84,July,1983
85,June,1983
85,May,1983
88,April,1983
91,March,1983
91,February,1983
91,January,1983
92,December,1982
90,November,1982
87,October,1982
87,September,1982
91,August,1982
93,July,1982
97,June,1982
97,May,1982
96,April,1982
97,March,1982
100,February,1982
100,January,1982
96,December,1981
95,November,1981
93,October,1981
93,September,1981
92,August,1981
91,July,1981
90,June,1981
91,May,1981
89,April,1981
88,March,1981
89,February,1981
90,January,1981
90,December,1980
93,November,1980
92,October,1980
95,September,1980
94,August,1980
96,July,1980
102,June,1980
104,May,1980
108,April,1980
110,March,1980
108,February,1980
108,January,1980
111,December,1979
111,November,1979
111,October,1979
108,September,1979
109,August,1979
109,July,1979
107,June,1979
106,May,1979
107,April,1979
106,March,1979
105,February,1979
106,January,1979
106,December,1978
104,November,1978
102,October,1978
103,September,1978
102,August,1978
101,July,1978
103,June,1978
104,May,1978
104,April,1978
97,March,1978
93,February,1978
93,January,1978
92,December,1977
93,November,1977
94,October,1977
95,September,1977
95,August,1977
95,July,1977
97,June,1977
95,May,1977
98,April,1977
102,March,1977
103,February,1977
100,January,1977
